item,id,tier,q,human,note
1,p1-001,L1,FastAPI dependency injection tutorial,,
2,p1-003,L1,RFC 9110 HTTP semantics,,
3,p1-004,L1,React useEffect cleanup function,,
4,p1-007,L1,Cloudflare Workers KV limits,,
5,p1-009,L1,Python asyncio TaskGroup,,
6,p1-011,L1,GitHub Actions cache key documentation,,
7,p1-012,L1,MDN Content-Security-Policy,,
8,p1-016,L2,When was Next.js App Router stable,,
9,p1-017,L2,LangChain Deep Agents release announcement,,
10,p1-018,L2,Factory.ai Droid skills documentation,,
11,p1-019,L2,Vercel Fluid compute pricing limits,,
12,p1-020,L2,Upstash Redis REST rate limits,,
13,p1-023,L2,OpenAI structured outputs JSON schema,,
14,p1-024,L2,MCP streamable HTTP transport,,
15,p1-026,L2,Cloudflare R2 egress pricing,,
16,p1-027,L2,Exe.dev persistent Linux VMs,,
17,p1-028,L2,Cursor Background Agents documentation,,
18,p1-032,L2,HTTP 103 Early Hints browser support,,
19,p1-033,L2,WebAuthn discoverable credentials passkeys,,
20,p1-034,L2,S3 conditional writes If-None-Match,,
21,p1-037,L3,Original paper introducing the Transformer attention architecture,,
22,p1-038,L3,Official X/Twitter profile for OpenAI,,
23,p1-041,L3,Wikipedia English: Transformer (machine learning model) vs SEO blog summaries of Attention Is All You Need,,
24,p1-042,L3,Apple Vision Pro US release date,,
25,p1-043,L3,Difference between LangGraph and LangChain agents,,
26,p1-044,L3,Official Solidity language documentation,,
27,p1-045,L3,Cloudflare Workers vs Cloudflare Pages Functions,,
28,p1-046,L3,What is prompt injection? defensive overview for LLM applications,,
29,p1-048,L3,Who maintains the ripgrep project,,
30,p1-049,L3,Official Kubernetes security announcements / CVE channel vs random aggregators,,
